TenPct_AGhipX	TenPct_AGhipY	TenPct_AGhipZ	TwentyFivePct_AGhipX	TwentyFivePct_AGhipY	TwentyFivePct_AGhipZ	FiftyPct_AGhipX	FiftyPct_AGhipY	FiftyPct_AGhipZ	SeventyFivePct_AGhipX	SeventyFivePct_AGhipY	SeventyFivePct_AGhipZ	NinetyPct_AGhipX	NinetyPct_AGhipY	NinetyPct_AGhipZ
-0.398	0.8240000000000001	-0.371	-0.328	0.91	-0.285	-0.262	0.973	-0.17600000000000002	-0.207	1.016	-0.07400000000000001	-0.16399999999999998	1.078	0.0
-0.398	0.836	-0.344	-0.324	0.906	-0.23	-0.262	0.969	-0.07400000000000001	-0.199	1.012	0.02	0.086	1.082	0.109
0.105	0.953	-0.219	0.129	0.957	-0.18	0.225	0.965	-0.047	0.281	0.977	-0.031	0.289	0.988	-0.007599999999999454
0.2604000000000001	0.945	-0.07	0.297	0.949	-0.043	0.297	0.949	-0.043	0.301	0.953	-0.027000000000000003	0.301	0.969	-0.012
0.223	0.953	-0.086	0.246	0.957	-0.078	0.266	0.961	-0.063	0.277	0.969	-0.047	0.285	0.973	-0.03059999999999945
-0.055	0.895	-0.254	0.027000000000000003	0.93	-0.223	0.12300000000000001	0.969	-0.168	0.34	0.992	-0.078	0.402	1.012	-0.008
0.301	0.93	0.016	0.316	0.934	0.031	0.328	0.938	0.047	0.34	0.941	0.051	0.3444000000000005	0.949	0.059
0.324	0.914	0.016	0.324	0.922	0.023	0.35200000000000004	0.93	0.043	0.375	0.934	0.055	0.383	0.938	0.078
0.359	0.914	0.004	0.3670000000000001	0.918	0.016	0.371	0.922	0.023	0.375	0.926	0.031	0.383	0.93	0.047
0.363	0.918	0.008	0.3670000000000001	0.918	0.023	0.371	0.922	0.035	0.371	0.926	0.039	0.375	0.93	0.043
0.3670000000000001	0.922	-0.004	0.3670000000000001	0.926	-0.004	0.3670000000000001	0.926	-0.004	0.3670000000000001	0.926	0.0	0.371	0.926	0.008
-0.012	0.961	-0.238	-0.004	0.984	-0.238	0.0	0.988	-0.234	0.004	0.988	-0.227	0.25	0.996	-0.086
0.023	0.969	-0.281	0.027000000000000003	0.977	-0.262	0.035	0.984	-0.238	0.051	0.988	-0.227	0.055	0.996	-0.207
0.039	0.98	-0.227	0.047	0.984	-0.223	0.051	0.988	-0.203	0.07400000000000001	0.992	-0.188	0.08199999999999999	0.996	-0.184
0.055	0.98	-0.219	0.055	0.988	-0.207	0.055	0.996	-0.199	0.055	0.996	-0.199	0.094	0.996	-0.199
0.031	0.977	-0.254	0.043	0.98	-0.246	0.051	0.984	-0.234	0.051	0.984	-0.234	0.051	0.984	-0.234
0.012	0.973	-0.27	0.02	0.977	-0.262	0.035	0.98	-0.254	0.047	0.98	-0.25	0.051	0.984	-0.242
-0.016	0.934	-0.14800000000000002	-0.008	0.992	-0.039	0.012	1.008	-0.023	0.14800000000000002	1.012	0.0	0.309	1.012	0.059
0.023	0.93	-0.039	0.031	0.965	-0.023	0.051	1.004	-0.012	0.212	1.008	0.055	0.344	1.012	0.086
0.004	0.988	-0.215	0.012	0.992	-0.211	0.035	0.996	-0.191	0.059	1.008	-0.008	0.059	1.008	-0.008
0.035	0.973	-0.273	0.035	0.98	-0.242	0.035	0.992	-0.207	0.051	0.992	-0.207	0.066	0.992	-0.207
0.023	0.918	-0.246	0.051	0.926	-0.238	0.215	0.965	-0.17600000000000002	0.3670000000000001	0.98	0.0	0.375	0.984	0.012
0.0	0.91	-0.117	0.02	0.918	-0.094	0.115	0.996	-0.066	0.383	1.004	0.016	0.391	1.008	0.059
-0.008	0.922	-0.117	-0.004	0.926	-0.113	0.004	1.0	-0.105	0.3670000000000001	1.004	0.023	0.3670000000000001	1.008	0.035
0.3670000000000001	0.922	0.035	0.3670000000000001	0.926	0.035	0.3670000000000001	0.926	0.035	0.3670000000000001	0.926	0.035	0.3670000000000001	0.926	0.055
0.3670000000000001	0.922	0.043	0.3670000000000001	0.922	0.047	0.3670000000000001	0.922	0.047	0.3670000000000001	0.922	0.047	0.371	0.922	0.047
0.3670000000000001	0.914	0.027000000000000003	0.3670000000000001	0.922	0.047	0.3670000000000001	0.922	0.047	0.371	0.922	0.047	0.375	0.922	0.08199999999999999
0.3670000000000001	0.918	0.016	0.3670000000000001	0.922	0.02	0.371	0.926	0.02	0.371	0.926	0.023	0.375	0.926	0.023
0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02
0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02
0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02
0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02
0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02
0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02	0.371	0.926	0.02
0.059	0.961	-0.285	0.066	0.973	-0.246	0.07400000000000001	0.98	-0.227	0.094	0.984	-0.219	0.125	0.992	-0.191
0.078	0.977	-0.223	0.078	0.977	-0.223	0.078	0.977	-0.223	0.078	0.977	-0.223	0.078	0.977	-0.223
-0.086	0.941	-0.383	-0.086	0.945	-0.375	-0.086	0.945	-0.363	-0.08199999999999999	0.945	-0.363	-0.07359999999999946	0.957	-0.359
-0.086	0.945	-0.363	-0.086	0.953	-0.355	-0.086	0.953	-0.348	-0.078	0.957	-0.336	-0.059	0.961	-0.336
-0.086	0.953	-0.336	-0.039	0.965	-0.328	-0.031	0.965	-0.32	-0.031	0.965	-0.32	0.02	0.973	-0.289
-0.043	0.961	-0.332	-0.031	0.965	-0.324	-0.023	0.965	-0.316	-0.004	0.973	-0.297	0.012	0.977	-0.285
-0.055	0.949	-0.3670000000000001	-0.027000000000000003	0.961	-0.332	-0.016	0.965	-0.313	-0.012	0.969	-0.305	0.0	0.973	-0.301
-0.016	0.965	-0.309	-0.016	0.965	-0.309	-0.013999999999999999	0.965	-0.309	0.023	0.969	-0.289	0.027000000000000003	0.973	-0.285
-0.008	0.965	-0.301	0.008	0.969	-0.289	0.016	0.973	-0.277	0.051	0.977	-0.266	0.059	0.98	-0.258
