Participant	OC_METs	TimeSec	Mean_APthighX	Mean_APthighY	Mean_APthighZ	Var_APthighX	Var_APthighY	Var_APthighZ
1	1.11	30	106.2	127.8	182.4	0.2	0.2	0.2
1	1.14	60	106.0	128.0	182.0	0.0	0.0	0.0
1	1.23	90	106.0	128.0	182.0	0.0	0.0	0.0
1	1.17	120	106.4	128.0	182.4	0.2	0.0	0.2
1	1.20	150	106.6	128.0	182.4	0.2	0.0	0.2
1	1.17	180	106.3	128.0	182.0	0.2	0.0	0.0
1	1.14	210	106.9	128.0	182.0	0.1	0.0	0.0
1	1.09	240	106.6	128.0	182.4	0.2	0.0	0.2
1	1.20	270	107.0	128.8	182.0	0.0	1.0	0.0
1	1.23	300	106.5	128.0	182.0	0.2	0.0	0.0
1	2.51	330	78.1	119.5	154.5	421.2	130.0	270.1
1	3.40	360	81.4	118.1	160.7	700.0	46.5	48.0
1	3.94	390	81.0	118.7	161.0	673.4	50.8	44.2
1	4.00	420	82.2	118.6	161.5	694.8	54.3	36.9
1	4.31	450	82.4	118.5	161.6	689.3	54.5	34.6
1	4.00	480	82.0	118.7	161.7	679.4	55.9	34.1
1	4.40	510	81.6	118.8	161.8	698.8	70.0	41.1
1	4.34	540	81.9	118.7	161.7	677.3	54.5	38.3
1	4.34	570	81.9	118.1	161.4	725.2	59.5	38.7
1	4.40	600	81.6	118.4	161.6	721.3	65.5	39.7
1	3.86	630	70.1	124.9	120.0	419.7	296.9	563.2
1	2.83	660	65.1	124.3	112.7	11.4	145.0	39.6
1	2.46	690	65.1	125.7	112.6	10.8	144.0	41.6
1	2.09	720	64.6	124.1	115.0	39.2	190.8	90.5
1	2.09	750	65.1	124.2	112.3	17.8	127.0	52.8
1	2.11	780	65.6	122.0	112.2	15.7	137.7	56.1
1	1.94	810	66.1	121.2	109.6	8.4	134.3	37.9
1	2.14	840	65.2	123.6	114.5	56.9	193.3	78.3
1	2.20	870	64.8	124.2	113.7	15.9	96.9	75.1
1	2.17	900	65.1	125.2	114.2	34.0	156.5	84.5
1	1.91	930	65.8	127.5	104.8	64.4	57.3	56.3
1	1.63	960	67.1	127.8	101.5	3.3	9.6	8.4
