Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA66,0.29244203492188237,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA10,-0.07070203751805929,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
HOA47,0.6226966021596254,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA17,0.32818847353882985,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA71,-0.04584893161747529,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
OA25,-0.022113621662775258,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA20,0.28023311649946686,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA40,-0.21509861395674862,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA73,0.07541484936307,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA10,0.05450557006211818,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
