Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA66,0.29244203492188015,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA10,-0.07070203751805929,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
HOA47,0.6226966021596256,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA17,0.3281884735388314,0.0755827029610501,"[0.01667, 0.99947, 0.0]","[(0.01361, 0.01973), (0.99873, 1.00021), (0.0, 0.0)]","[0.99949, 0.01621, 1.0]","[(0.99879, 1.0002), (0.01323, 0.01919), (1.0, 1.0)]"
KOA71,-0.04584893161747321,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
OA25,-0.022113621662774814,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA20,0.28023311649947075,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA40,-0.21509861395674854,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA73,0.07541484936306875,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA10,0.054505570062114435,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
OA42,0.5238491687778661,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA44,,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
HOA34,0.17474471997903085,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA5,-0.01111654431877063,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
KOA45,,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA61,-0.09439829514541101,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
KOA57,-0.215434303418037,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
KOA70,0.006376599922838844,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
HOA12,-0.04471978003249458,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA51,-0.25283797983993345,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA24,0.2594170982621613,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
