Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA66,0.24602313028560338,0.2953242668836571,"[0.59284, 0.41709, 0.44037]","[(0.58142, 0.60425), (0.39993, 0.43425), (0.37447, 0.50627)]","[0.65782, 0.63587, 0.89914]","[(0.64185, 0.67379), (0.62486, 0.64688), (0.89333, 0.90496)]"
OA10,0.0769425084874698,0.19586106749455562,"[0.73293, 0.31387, 0.13274]","[(0.72174, 0.74412), (0.27501, 0.35272), (0.08851, 0.17698)]","[0.51938, 0.74952, 0.96292]","[(0.48418, 0.55458), (0.73876, 0.76028), (0.95835, 0.9675)]"
HOA47,0.6297370968123492,0.6073376500973154,"[0.71987, 0.22808, 0.96226]","[(0.71061, 0.72913), (0.21581, 0.24035), (0.94855, 0.97598)]","[0.78953, 0.77779, 0.79641]","[(0.77849, 0.80058), (0.76955, 0.78603), (0.78962, 0.80319)]"
HOA17,-0.05777446424728155,0.13345956491196498,"[0.6688, 0.21805, 0.12632]","[(0.65755, 0.68005), (0.20485, 0.23126), (0.07908, 0.17355)]","[0.43563, 0.75159, 0.86777]","[(0.42016, 0.4511), (0.7414, 0.76178), (0.86128, 0.87426)]"
KOA71,0.3957948254180279,0.45868398535052735,"[0.7708, 0.25625, 0.36207]","[(0.76243, 0.77917), (0.23984, 0.27266), (0.23838, 0.48576)]","[0.68431, 0.80532, 0.87861]","[(0.66702, 0.70159), (0.79745, 0.81318), (0.87286, 0.88435)]"
OA25,0.1587134196907349,0.25062469560995093,"[0.40935, 0.33451, 0.67857]","[(0.3945, 0.4242), (0.307, 0.36202), (0.50558, 0.85156)]","[0.77029, 0.55964, 0.79117]","[(0.74607, 0.79452), (0.5447, 0.57458), (0.78027, 0.80207)]"
HOA20,0.21730587731285705,0.2552963392182814,"[0.62442, 0.31067, 0.225]","[(0.61172, 0.63712), (0.28993, 0.33141), (0.13349, 0.31651)]","[0.59689, 0.67155, 0.89144]","[(0.57535, 0.61843), (0.65932, 0.68378), (0.8844, 0.89848)]"
OA40,-0.04310083446246483,0.17915781968513653,"[0.73824, 0.27273, 0.27419]","[(0.7286, 0.74788), (0.25758, 0.28787), (0.21867, 0.32972)]","[0.41569, 0.77039, 0.93725]","[(0.39952, 0.43185), (0.76131, 0.77947), (0.93278, 0.94171)]"
OA73,0.06910593408848038,0.09295596829515212,"[0.68886, 0.23465, 0.47727]","[(0.67683, 0.70089), (0.21134, 0.25795), (0.37291, 0.58163)]","[0.38439, 0.72993, 0.94369]","[(0.35852, 0.41026), (0.71848, 0.74138), (0.93828, 0.94911)]"
HOA10,0.23881880688846666,0.19835878977054003,"[0.50097, 0.27446, 0.71429]","[(0.49018, 0.51176), (0.24928, 0.29965), (0.47764, 0.95093)]","[0.73361, 0.704, 0.76471]","[(0.7088, 0.75841), (0.69415, 0.71384), (0.75615, 0.77326)]"
OA42,0.37130971688848297,0.5053174635819532,"[0.5668, 0.2554, 0.77273]","[(0.5549, 0.5787), (0.23763, 0.27317), (0.68517, 0.86029)]","[0.84929, 0.6443, 0.79211]","[(0.83498, 0.8636), (0.63288, 0.65572), (0.78372, 0.80051)]"
KOA44,0.4398796050258406,0.5442539643964103,"[0.77838, 0.20228, 0.85211]","[(0.76967, 0.78708), (0.18638, 0.21818), (0.79372, 0.9105)]","[0.75212, 0.81828, 0.85195]","[(0.7355, 0.76874), (0.81026, 0.8263), (0.84537, 0.85853)]"
HOA34,0.20064857780548334,0.2514094132615883,"[0.29946, 0.20491, 0.35714]","[(0.2903, 0.30861), (0.18265, 0.22716), (0.17966, 0.53463)]","[0.81734, 0.46111, 0.78617]","[(0.79627, 0.83841), (0.45116, 0.47106), (0.77847, 0.79388)]"
HOA5,0.0448275695083828,0.1598189068775411,"[0.74861, 0.30135, 0.75]","[(0.74044, 0.75679), (0.26829, 0.33441), (0.44994, 1.05006)]","[0.5107, 0.79351, 0.94488]","[(0.47487, 0.54652), (0.78589, 0.80114), (0.94072, 0.94904)]"
KOA45,0.3828035750243133,0.4175672007479175,"[0.66051, 0.17984, 0.2381]","[(0.65145, 0.66957), (0.16208, 0.19761), (0.10928, 0.36691)]","[0.79815, 0.74915, 0.83293]","[(0.7798, 0.8165), (0.74087, 0.75742), (0.82633, 0.83952)]"
OA61,-0.007519339433549768,0.02334059363648025,"[0.62625, 0.24734, 0.36066]","[(0.61308, 0.63943), (0.2332, 0.26149), (0.27545, 0.44587)]","[0.3658, 0.68314, 0.92232]","[(0.35027, 0.38133), (0.67061, 0.69566), (0.91671, 0.92793)]"
KOA57,-0.16110362735297712,0.14472124785847262,"[0.68424, 0.29554, 0.3125]","[(0.67402, 0.69446), (0.28239, 0.3087), (0.08538, 0.53962)]","[0.43898, 0.73474, 0.9155]","[(0.4247, 0.45326), (0.72504, 0.74444), (0.91064, 0.92036)]"
KOA70,0.07403237402517332,0.19796230539472326,"[0.80432, 0.12185, 0.33333]","[(0.79511, 0.81352), (0.11306, 0.13064), (0.06661, 0.60006)]","[0.34034, 0.83585, 0.88877]","[(0.32762, 0.35306), (0.82726, 0.84444), (0.88325, 0.8943)]"
HOA12,0.24757542708951408,0.334878005506787,"[0.53654, 0.26447, 0.50476]","[(0.5256, 0.54747), (0.24969, 0.27924), (0.43714, 0.57239)]","[0.75991, 0.71763, 0.72516]","[(0.74602, 0.7738), (0.70789, 0.72737), (0.71697, 0.73335)]"
OA51,0.19438902588767962,0.26099491995035545,"[0.56722, 0.33438, 0.5]","[(0.54786, 0.58659), (0.29782, 0.37093), (0.1901, 0.8099)]","[0.74615, 0.76941, 0.75523]","[(0.7127, 0.77961), (0.75298, 0.78585), (0.74023, 0.77024)]"
HOA24,0.21069603883487845,0.25164683345994404,"[0.87044, 0.14351, 0.66667]","[(0.86383, 0.87705), (0.12453, 0.1625), (0.51267, 0.82066)]","[0.39079, 0.89351, 0.952]","[(0.36472, 0.41685), (0.88745, 0.89957), (0.94804, 0.95595)]"
HOA42,0.16056608018572396,0.3433619896535556,"[0.67252, 0.19298, 0.31667]","[(0.66309, 0.68195), (0.16737, 0.2186), (0.19896, 0.43437)]","[0.7963, 0.76985, 0.85696]","[(0.77098, 0.82162), (0.76142, 0.77828), (0.85024, 0.86369)]"
HOA43,0.3246658205710582,0.3810006502313168,"[0.60382, 0.29443, 0.64695]","[(0.59366, 0.61399), (0.27816, 0.3107), (0.6073, 0.68661)]","[0.7535, 0.74841, 0.78255]","[(0.73937, 0.76763), (0.73966, 0.75716), (0.77514, 0.78996)]"
KOA31,-0.031220894080858104,0.21231824303031974,"[0.74676, 0.38041, 0.11538]","[(0.73798, 0.75554), (0.36187, 0.39895), (0.04448, 0.18629)]","[0.47935, 0.77516, 0.95529]","[(0.46055, 0.49815), (0.76676, 0.78355), (0.9516, 0.95898)]"
KOA1,0.23263504302054425,0.23004987582643918,"[0.69067, 0.25304, nan]","[(0.68187, 0.69948), (0.22792, 0.27817), (nan, nan)]","[0.60174, 0.73825, 0.92294]","[(0.57345, 0.63003), (0.72988, 0.74662), (0.91812, 0.92776)]"
HOA29,0.3092710024684334,0.3607678338095632,"[0.90691, 0.2607, 0.6875]","[(0.90187, 0.91194), (0.22923, 0.29216), (0.55637, 0.81863)]","[0.57286, 0.92135, 0.9698]","[(0.5385, 0.60723), (0.9167, 0.92601), (0.96692, 0.97268)]"
KOA66,0.1387544513182719,0.3789124953644243,"[0.74229, 0.3098, 0.44079]","[(0.73352, 0.75107), (0.28994, 0.32966), (0.38498, 0.4966)]","[0.66639, 0.80634, 0.8827]","[(0.64747, 0.68531), (0.79853, 0.81415), (0.87685, 0.88855)]"
KOA41,0.03704555438798156,0.04449439448838216,"[0.68403, 0.19014, 0.5]","[(0.67559, 0.69247), (0.1256, 0.25468), (0.09992, 0.90008)]","[0.43919, 0.72226, 0.9594]","[(0.35923, 0.51915), (0.71413, 0.73039), (0.95584, 0.96296)]"
HOA8,0.08969370747061355,0.11820831719708993,"[0.68278, 0.22044, 0.47222]","[(0.67408, 0.69147), (0.20028, 0.24061), (0.35691, 0.58754)]","[0.44634, 0.76444, 0.90128]","[(0.42269, 0.47), (0.75654, 0.77234), (0.89608, 0.90648)]"
HOA48,0.09168029924669895,0.17769040285916685,"[0.72024, 0.20363, 0.33923]","[(0.70799, 0.73249), (0.19254, 0.21472), (0.30359, 0.37487)]","[0.40097, 0.77502, 0.88539]","[(0.3883, 0.41365), (0.7643, 0.78573), (0.87922, 0.89156)]"
KOA9,0.19372143509406164,0.38437963950375903,"[0.6555, 0.33569, 0.53448]","[(0.64597, 0.66503), (0.31872, 0.35265), (0.40611, 0.66286)]","[0.72248, 0.72596, 0.85478]","[(0.70655, 0.73841), (0.71704, 0.73488), (0.84861, 0.86095)]"
OA52,0.13546536896983433,0.19874755960345444,"[0.56578, 0.25279, 0.625]","[(0.55436, 0.5772), (0.23779, 0.26779), (0.47497, 0.77503)]","[0.58762, 0.6942, 0.80927]","[(0.57073, 0.60451), (0.68361, 0.70479), (0.80174, 0.8168)]"
OA12,0.09045638644063433,0.2942139353534221,"[0.7333, 0.36175, 0.25]","[(0.71941, 0.74719), (0.32978, 0.39372), (0.14043, 0.35957)]","[0.58082, 0.76417, 0.93361]","[(0.54907, 0.61257), (0.75093, 0.77741), (0.92654, 0.94069)]"
OA58,0.01680726314138576,0.13530005909335668,"[0.48746, 0.2678, 0.43667]","[(0.46086, 0.51407), (0.23207, 0.30353), (0.38054, 0.49279)]","[0.53708, 0.6413, 0.85098]","[(0.50432, 0.56984), (0.6182, 0.6644), (0.83515, 0.8668)]"
HOA19,0.2552116757676916,0.4045101432668758,"[0.62254, 0.33757, 0.12195]","[(0.61237, 0.63271), (0.31529, 0.35986), (0.05112, 0.19278)]","[0.82781, 0.7032, 0.8484]","[(0.81043, 0.8452), (0.69366, 0.71274), (0.84153, 0.85528)]"
HOA2,-0.07139695328983872,0.059240741819642465,"[0.42038, 0.41074, 0.18182]","[(0.4111, 0.42965), (0.38364, 0.43784), (0.02065, 0.34299)]","[0.64752, 0.5735, 0.83808]","[(0.62142, 0.67361), (0.56421, 0.58279), (0.83153, 0.84464)]"
OA43,-0.04955632084203613,0.08345667165151273,"[0.53278, 0.3062, 0.15043]","[(0.52041, 0.54514), (0.28924, 0.32316), (0.13519, 0.16567)]","[0.51313, 0.60994, 0.88869]","[(0.4992, 0.52705), (0.59949, 0.62039), (0.88223, 0.89516)]"
