Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA35,0.04625239798344925,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA51,-0.01658742332124116,nan,"[0.0, 0.0, nan]","[(0.0, 0.0), (0.0, 0.0), (nan, nan)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA24,0.11973956921880322,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA22,0.08112813486305422,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
KOA61,-0.04956582432197253,nan,"[0.0, 0.0, nan]","[(0.0, 0.0), (0.0, 0.0), (nan, nan)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA62,0.18043442135281584,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
KOA53,0.14039951452988042,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
HOA46,0.007948362716044623,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
KOA29,0.1460897248510507,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA33,0.2198842491681676,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA72,-0.013866706536083857,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
HOA37,0.04969823491024559,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
KOA8,0.03549108243461128,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA49,0.011420306077982658,nan,"[0.0, 0.0, nan]","[(0.0, 0.0), (0.0, 0.0), (nan, nan)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
KOA20,-0.019141074283011938,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA44,0.007209144272711291,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
KOA50,0.0805612619035465,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
KOA21,-0.02970874024752092,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA25,0.03969029742841916,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
KOA67,0.013827861335703425,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA10,0.12419014016638304,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
HOA1,0.1119641106741933,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA65,0.20233320086691042,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
