Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA35,0.22739465126279945,0.21955049972286303,"[0.12393, 0.04539, 0.95745]","[(0.11817, 0.12968), (0.03838, 0.05239), (0.93821, 0.97668)]","[0.9696, 0.82799, 0.25343]","[(0.96415, 0.97505), (0.82151, 0.83448), (0.24668, 0.26017)]"
OA51,0.01852737611524747,0.043336597987301474,"[0.19056, 0.07975, nan]","[(0.17652, 0.20459), (0.03816, 0.12134), (nan, nan)]","[0.88957, 0.91886, 0.26751]","[(0.84145, 0.93769), (0.9091, 0.92862), (0.2521, 0.28292)]"
OA24,0.2498241713505333,0.19188474110825202,"[0.22061, 0.05848, 0.90045]","[(0.2108, 0.23041), (0.04742, 0.06955), (0.86098, 0.93993)]","[0.90811, 0.85648, 0.32469]","[(0.89528, 0.92094), (0.84832, 0.86464), (0.31479, 0.33459)]"
OA22,-0.1054860475254703,-0.06309540161159427,"[0.0976, 0.26566, 0.31527]","[(0.09219, 0.103), (0.24797, 0.28336), (0.28498, 0.34555)]","[0.95846, 0.74455, 0.32008]","[(0.95165, 0.96527), (0.73689, 0.7522), (0.31234, 0.32782)]"
KOA61,0.03422143376361386,0.044940977402294434,"[0.06729, 0.0, nan]","[(0.06289, 0.07169), (0.0, 0.0), (nan, nan)]","[1.0, 0.90027, 0.16532]","[(1.0, 1.0), (0.89501, 0.90554), (0.15882, 0.17181)]"
OA62,0.1950018246327196,0.2379164311491896,"[0.25477, 0.02575, 0.87705]","[(0.24267, 0.26687), (0.01578, 0.03571), (0.81878, 0.93532)]","[0.94876, 0.8836, 0.32409]","[(0.93569, 0.96184), (0.8748, 0.8924), (0.3122, 0.33598)]"
KOA53,0.04599076462188067,0.11211258346242241,"[0.18888, 0.04917, 0.875]","[(0.18185, 0.19591), (0.03723, 0.0611), (0.81771, 0.93229)]","[0.91217, 0.88351, 0.29002]","[(0.89728, 0.92705), (0.87777, 0.88924), (0.28227, 0.29777)]"
HOA46,0.1463739543152987,0.04723439253191035,"[0.11928, 0.04651, 1.0]","[(0.11292, 0.12564), (0.002, 0.09102), (1.0, 1.0)]","[0.98901, 0.84237, 0.27511]","[(0.96759, 1.01043), (0.83522, 0.84953), (0.26639, 0.28384)]"
KOA29,0.21502549311018404,0.21454900757714324,"[0.27874, 0.04896, 0.5]","[(0.26958, 0.28791), (0.03965, 0.05827), (0.09992, 0.90008)]","[0.91445, 0.87706, 0.3526]","[(0.9024, 0.9265), (0.87036, 0.88377), (0.34377, 0.36142)]"
OA33,0.23996088712130959,0.1997470250415578,"[0.22974, 0.05011, 0.87273]","[(0.22046, 0.23902), (0.04305, 0.05717), (0.82187, 0.92358)]","[0.90175, 0.88872, 0.28103]","[(0.89233, 0.91116), (0.88186, 0.89559), (0.27284, 0.28923)]"
OA72,-0.021110907536914008,0.037314296333194365,"[0.09011, 0.08348, 0.8]","[(0.0841, 0.09611), (0.06039, 0.10658), (0.62469, 0.97531)]","[0.94921, 0.89399, 0.19235]","[(0.9312, 0.96722), (0.88754, 0.90044), (0.18434, 0.20037)]"
HOA37,0.25465909656952296,0.2079276773791351,"[0.16277, 0.05854, 0.96509]","[(0.15543, 0.17011), (0.04885, 0.06823), (0.94712, 0.98305)]","[0.97214, 0.86949, 0.25844]","[(0.96588, 0.9784), (0.86292, 0.87605), (0.2506, 0.26628)]"
