Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA35,0.2676654308158874,0.07869129551921185,"[0.53705, 0.5094, 0.02974]","[(0.53352, 0.54058), (0.50229, 0.51651), (0.02336, 0.03611)]","[0.5465, 0.52858, 0.99814]","[(0.53988, 0.55312), (0.52511, 0.53205), (0.99787, 0.99841)]"
OA51,-0.007340037189689241,-0.07854400539938228,"[0.54675, 0.27144]","[(0.5395, 0.554), (0.24272, 0.30016)]","[0.27144, 0.54675]","[(0.24272, 0.30016), (0.5395, 0.554)]"
OA24,-0.11530573196037777,-0.19023886636406206,"[0.3999, 0.34189, 0.00112]","[(0.39523, 0.40456), (0.33196, 0.35181), (-0.00043, 0.00267)]","[0.35873, 0.40649, 0.99988]","[(0.34958, 0.36788), (0.40191, 0.41107), (0.99979, 0.99998)]"
OA22,0.27317922011115114,0.012103249115456566,"[0.52705, 0.30331, 0.15744]","[(0.52336, 0.53074), (0.29543, 0.31118), (0.14807, 0.16682)]","[0.43694, 0.52384, 0.99541]","[(0.42987, 0.44402), (0.52029, 0.52738), (0.99495, 0.99587)]"
KOA61,0.046862963546755496,-0.005231219111616165,"[0.99377, 0.00236, 0.0]","[(0.99321, 0.99433), (-0.00091, 0.00564), (0.0, 0.0)]","[0.00235, 0.99377, 1.0]","[(-0.0009, 0.0056), (0.99321, 0.99433), (1.0, 1.0)]"
OA62,-0.1733886237932033,-0.3052358821290585,"[0.38228, 0.17458, 0.0]","[(0.3768, 0.38776), (0.16443, 0.18473), (0.0, 0.0)]","[0.20739, 0.3894, 0.99865]","[(0.19732, 0.21746), (0.38398, 0.39483), (0.99827, 0.99903)]"
KOA53,-0.0717782226703088,-0.15091152392851231,"[0.40507, 0.3102, 0.0]","[(0.40149, 0.40866), (0.29923, 0.32117), (0.0, 0.0)]","[0.33989, 0.40579, 0.99984]","[(0.32936, 0.35042), (0.40222, 0.40935), (0.99975, 0.99992)]"
HOA46,-0.06303100339595973,-0.08409725761115042,"[0.24823, 0.41245, 0.0]","[(0.24476, 0.2517), (0.3777, 0.4472), (0.0, 0.0)]","[0.43284, 0.24814, 1.0]","[(0.39859, 0.46708), (0.24467, 0.25161), (1.0, 1.0)]"
KOA29,-0.12338650590759978,-0.07395929518424323,"[0.22065, 0.69609, 0.0]","[(0.21724, 0.22407), (0.68746, 0.70472), (0.0, 0.0)]","[0.69461, 0.22105, 0.99996]","[(0.68599, 0.70324), (0.21763, 0.22446), (0.99991, 1.00001)]"
OA33,-0.13877740934361862,-0.2248936863317053,"[0.40458, 0.33558, 0.0056]","[(0.40026, 0.40891), (0.32889, 0.34226), (0.00214, 0.00906)]","[0.34464, 0.41089, 0.99943]","[(0.33821, 0.35107), (0.40663, 0.41515), (0.99925, 0.99961)]"
OA72,-0.06870433644016054,-0.15607172483191717,"[0.42076, 0.25263, 0.0]","[(0.41654, 0.42499), (0.23765, 0.2676), (0.0, 0.0)]","[0.25306, 0.42232, 0.99919]","[(0.23834, 0.26778), (0.4181, 0.42654), (0.99896, 0.99943)]"
HOA37,-0.018776757800687133,-0.1140221199060911,"[0.58147, 0.22614, 0.0]","[(0.57752, 0.58542), (0.2186, 0.23368), (0.0, 0.0)]","[0.26879, 0.57945, 0.99997]","[(0.26153, 0.27605), (0.57557, 0.58332), (0.99993, 1.00001)]"
KOA8,-0.04138722375241677,-0.11689476405833542,"[0.40209, 0.34095, 0.0]","[(0.39847, 0.40571), (0.32683, 0.35507), (0.0, 0.0)]","[0.35933, 0.40238, 0.99993]","[(0.34566, 0.373), (0.39877, 0.40599), (0.99987, 0.99999)]"
OA49,0.007026056766333286,0.004961779150599067,"[0.11441, 0.89557]","[(0.11057, 0.11824), (0.87289, 0.91824)]","[0.89557, 0.11441]","[(0.87289, 0.91824), (0.11057, 0.11824)]"
KOA20,-0.023592394805821038,-0.0972759949316102,"[0.54114, 0.12687, 0.0]","[(0.5375, 0.54478), (0.1106, 0.14313), (0.0, 0.0)]","[0.13188, 0.54126, 0.99997]","[(0.11557, 0.14819), (0.53762, 0.5449), (0.99994, 1.00001)]"
OA44,-0.22623521884506148,-0.28733298155252085,"[0.23443, 0.36154, 0.0]","[(0.23075, 0.2381), (0.34991, 0.37317), (0.0, 0.0)]","[0.36117, 0.23516, 1.0]","[(0.34962, 0.37272), (0.23149, 0.23884), (1.0, 1.0)]"
KOA50,-0.10131433330433616,-0.11659064648178047,"[0.44466, 0.20253, 0.01587]","[(0.44071, 0.44861), (0.18444, 0.22062), (-0.01499, 0.04674)]","[0.2195, 0.44456, 0.99994]","[(0.20117, 0.23783), (0.44061, 0.44851), (0.99987, 1.0)]"
KOA21,0.10636088736772939,-0.02971286817973539,"[0.47547, 0.39424, 0.00547]","[(0.4712, 0.47975), (0.3828, 0.40568), (0.00209, 0.00886)]","[0.47126, 0.46761, 0.9999]","[(0.46085, 0.48167), (0.46341, 0.47181), (0.99982, 0.99998)]"
